task_id,task_name,tier,model,rag_status,rubric_a_total,rubric_b_total,rubric_a_label,rubric_b_label
T1,Dataset availability query,Tier A — Fundamental EO Interactions,claude-haiku-4-5,With_RAG,10.0,6.0,Strong,Strong
T1,Dataset availability query,Tier A — Fundamental EO Interactions,claude-sonnet-4-6,With_RAG,10.0,6.0,Strong,Strong
T1,Dataset availability query,Tier A — Fundamental EO Interactions,gemini 3.1 pro,With_RAG,10.0,6.0,Strong,Strong
T1,Dataset availability query,Tier A — Fundamental EO Interactions,gemini 3.5 flash,With_RAG,10.0,6.0,Strong,Strong
T1,Dataset availability query,Tier A — Fundamental EO Interactions,gemma-4-31b-it,With_RAG,9.0,5.0,Strong,Adequate
T10,Urban heat vulnerability classification,Tier D — Urban Heat / Applied Analysis,claude-haiku-4-5,With_RAG,8.0,5.0,Partial,Adequate
T10,Urban heat vulnerability classification,Tier D — Urban Heat / Applied Analysis,claude-sonnet-4-6,With_RAG,10.0,6.0,Strong,Strong
T10,Urban heat vulnerability classification,Tier D — Urban Heat / Applied Analysis,gemini 3.1 pro,With_RAG,10.0,6.0,Strong,Strong
T10,Urban heat vulnerability classification,Tier D — Urban Heat / Applied Analysis,gemini 3.5 flash,With_RAG,10.0,6.0,Strong,Strong
T10,Urban heat vulnerability classification,Tier D — Urban Heat / Applied Analysis,gemma-4-31b-it,With_RAG,10.0,6.0,Strong,Strong
T11,Green infrastructure cooling capacity,Tier D — Urban Heat / Applied Analysis,claude-haiku-4-5,With_RAG,5.0,4.0,Partial,Adequate
T11,Green infrastructure cooling capacity,Tier D — Urban Heat / Applied Analysis,claude-sonnet-4-6,With_RAG,7.0,5.0,Partial,Adequate
T11,Green infrastructure cooling capacity,Tier D — Urban Heat / Applied Analysis,gemini 3.1 pro,With_RAG,7.0,5.0,Partial,Adequate
T11,Green infrastructure cooling capacity,Tier D — Urban Heat / Applied Analysis,gemini 3.5 flash,With_RAG,8.0,5.0,Partial,Adequate
T11,Green infrastructure cooling capacity,Tier D — Urban Heat / Applied Analysis,gemma-4-31b-it,With_RAG,7.0,4.0,Partial,Adequate
T12,SUHI intensity mapping,Tier D — Urban Heat / Applied Analysis,claude-haiku-4-5,With_RAG,10.0,4.0,Strong,Adequate
T12,SUHI intensity mapping,Tier D — Urban Heat / Applied Analysis,claude-sonnet-4-6,With_RAG,10.0,5.0,Strong,Adequate
T12,SUHI intensity mapping,Tier D — Urban Heat / Applied Analysis,gemini 3.1 pro,With_RAG,9.0,6.0,Strong,Strong
T12,SUHI intensity mapping,Tier D — Urban Heat / Applied Analysis,gemini 3.5 flash,With_RAG,10.0,6.0,Strong,Strong
